,delta_test_loss_at_h0,delta_test_loss_at_h1,delta_test_loss_at_h2,delta_test_loss_at_h3,delta_test_loss_at_h4,delta_test_loss_at_h5,delta_test_loss_at_h6,delta_test_loss_at_h7,delta_test_loss_at_h8,delta_test_loss_at_h9,delta_test_loss_at_h10,delta_test_loss_at_h11,delta_test_loss_at_h12,delta_test_loss_at_h13,delta_test_loss_at_h14,delta_test_loss_at_h15,delta_test_loss_at_h16,delta_test_loss_at_h17,delta_test_loss_at_h18,delta_test_loss_at_h19,delta_test_loss_at_h20,delta_test_loss_at_h21,delta_test_loss_at_h22,delta_test_loss_at_h23,delta_test_loss_at_h24,delta_test_loss_at_h25,delta_test_loss_at_h26,delta_test_loss_at_h27,delta_test_loss_at_h28,delta_test_loss_at_h29,delta_test_loss_at_h30,delta_test_loss_at_h31,delta_test_loss_at_h32,delta_test_loss_at_h33,delta_test_loss_at_h34,delta_test_loss_at_h35,delta_test_loss_at_h36,delta_test_loss_at_h37,delta_test_loss_at_h38,delta_test_loss_at_h39,delta_test_loss_at_h40,delta_test_loss_at_h41,delta_test_loss_at_h42,delta_test_loss_at_h43,delta_test_loss_at_h44,delta_test_loss_at_h45,delta_test_loss_at_h46,delta_test_loss_at_h47,delta_test_loss_at_h48,delta_test_loss_at_h49
tmp4__range__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__q10__input_weights_var,0.002020208857240302,0.005866520964944863,0.011516722215953118,0.013184998635158192,0.015804860560328274,0.020056994206344925,0.02126500142465087,0.02240030880935851,0.02306046007334113,0.02297823345649007,0.023994567069134363,0.023468245253066577,0.0224562274883343,0.0221121739212646,0.021887732483184135,0.021543710140094496,0.021648171700087128,0.021562819215897866,0.02161375246605568,0.021692388325198587,0.021671686826411605,0.021650419826652226,0.02172835835024022,0.021759159071914565,0.02178255624098099,0.02184353667405939,0.02167954833072722,0.021622956601514344,0.021636181691739923,0.021614213887094506,0.021540278971617824,0.021563967564498257,0.02162955526930266,0.021665442030397435,0.021657937867187074,0.021678538755371606,0.021697689463148397,0.021642783828859348,0.021621447442477595,0.021640369174400535,0.021646863762255268,0.021685401092324953,0.021693293820620643,0.021702848358522327,0.02170238346815238,0.021698199454822886,0.021718689324411605,0.021724150051592887,0.021735945777397434,0.021724170867579603
tmp4__q90__input_weights_var,0.002020208857240302,0.005866520964944863,0.011516722215953118,0.013184998635158192,0.015804860560328274,0.020056994206344925,0.02126500142465087,0.02240030880935851,0.02306046007334113,0.02297823345649007,0.023994567069134363,0.023468245253066577,0.0224562274883343,0.0221121739212646,0.021887732483184135,0.021543710140094496,0.021648171700087128,0.021562819215897866,0.02161375246605568,0.021692388325198587,0.021671686826411605,0.021650419826652226,0.02172835835024022,0.021759159071914565,0.02178255624098099,0.02184353667405939,0.02167954833072722,0.021622956601514344,0.021636181691739923,0.021614213887094506,0.021540278971617824,0.021563967564498257,0.02162955526930266,0.021665442030397435,0.021657937867187074,0.021678538755371606,0.021697689463148397,0.021642783828859348,0.021621447442477595,0.021640369174400535,0.021646863762255268,0.021685401092324953,0.021693293820620643,0.021702848358522327,0.02170238346815238,0.021698199454822886,0.021718689324411605,0.021724150051592887,0.021735945777397434,0.021724170867579603
tmp4__tail_exceed_p90_rate__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__trend_tstat__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__delta_last_first__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__pct_change_last_first__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spearman_rho_time__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__autocorr_lag1__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__vol_cluster_acf__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__zero_cross_rate__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__sign_persistence__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean_second_diff__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__abs_mean_second_diff__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__l1norm__input_weights_var,0.002020208857240302,0.005866520964944863,0.011516722215953118,0.013184998635158192,0.015804860560328274,0.020056994206344925,0.02126500142465087,0.02240030880935851,0.02306046007334113,0.02297823345649007,0.023994567069134363,0.023468245253066577,0.0224562274883343,0.0221121739212646,0.021887732483184135,0.021543710140094496,0.021648171700087128,0.021562819215897866,0.02161375246605568,0.021692388325198587,0.021671686826411605,0.021650419826652226,0.02172835835024022,0.021759159071914565,0.02178255624098099,0.02184353667405939,0.02167954833072722,0.021622956601514344,0.021636181691739923,0.021614213887094506,0.021540278971617824,0.021563967564498257,0.02162955526930266,0.021665442030397435,0.021657937867187074,0.021678538755371606,0.021697689463148397,0.021642783828859348,0.021621447442477595,0.021640369174400535,0.021646863762255268,0.021685401092324953,0.021693293820620643,0.021702848358522327,0.02170238346815238,0.021698199454822886,0.021718689324411605,0.021724150051592887,0.021735945777397434,0.021724170867579603
tmp4__l2norm__input_weights_var,0.002020208857240302,0.005866520964944863,0.011516722215953118,0.013184998635158192,0.015804860560328274,0.020056994206344925,0.02126500142465087,0.02240030880935851,0.02306046007334113,0.02297823345649007,0.023994567069134363,0.023468245253066577,0.0224562274883343,0.0221121739212646,0.021887732483184135,0.021543710140094496,0.021648171700087128,0.021562819215897866,0.02161375246605568,0.021692388325198587,0.021671686826411605,0.021650419826652226,0.02172835835024022,0.021759159071914565,0.02178255624098099,0.02184353667405939,0.02167954833072722,0.021622956601514344,0.021636181691739923,0.021614213887094506,0.021540278971617824,0.021563967564498257,0.02162955526930266,0.021665442030397435,0.021657937867187074,0.021678538755371606,0.021697689463148397,0.021642783828859348,0.021621447442477595,0.021640369174400535,0.021646863762255268,0.021685401092324953,0.021693293820620643,0.021702848358522327,0.02170238346815238,0.021698199454822886,0.021718689324411605,0.021724150051592887,0.021735945777397434,0.021724170867579603
tmp4__half_diff_mean__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__ema_crossover_rate__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__dom_freq_idx__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spectral_entropy__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__low_high_bandpower_ratio__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_1_sigma_rate__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_2_sigma_rate__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__fano_factor__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__skew__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__kurtosis__input_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__std__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__slope_ols__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__median__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__ema_mean_hl__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__var__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mad__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__iqr__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__min__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__max__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__range__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__q10__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__q90__output_weights_mean,-0.03615791007493755,-0.029675513461004718,-0.013218172379317928,-0.004379766860949205,-0.011590549542048292,-0.014783208437413264,-0.002587385512073266,0.010441396058839852,0.01202651262836525,0.00405198445739662,-0.006158985567582575,-0.012803975853455463,-0.01563058562309187,-0.017131376630585636,-0.017735754926450187,-0.018305120732722724,-0.01888294476824868,-0.019248938384679438,-0.01935737579794616,-0.01953597696364142,-0.019783548431862343,-0.020094740494032752,-0.020320115181792955,-0.02060836802664447,-0.020822599222869834,-0.021117200943658064,-0.021178850957535394,-0.021405030530113802,-0.02148600471829031,-0.021490660560643905,-0.02152666527893423,-0.02165226200388565,-0.021720718845406606,-0.02176023452678324,-0.02180381626422425,-0.02188003746877602,-0.021887871218429087,-0.021907077435470435,-0.021890854843186237,-0.021878025256730514,-0.02188135581459895,-0.021889238134887596,-0.021890709131279502,-0.02189294338051624,-0.021911004718290317,-0.021915216486261452,-0.021901922009436588,-0.02190509991673606,-0.0219099292256453,-0.021907542325839587
tmp4__tail_exceed_p90_rate__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__trend_tstat__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__delta_last_first__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__pct_change_last_first__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spearman_rho_time__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__autocorr_lag1__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__vol_cluster_acf__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__zero_cross_rate__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__sign_persistence__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean_second_diff__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__abs_mean_second_diff__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__l1norm__output_weights_mean,-0.2881201151817929,-0.3236956841520955,-0.3116592393698293,-0.2849363238967527,-0.2602243755203997,-0.2339924299195115,-0.20621721482098251,-0.17945646683319455,-0.15858211212878157,-0.14019618373577578,-0.12365771579239523,-0.11268809325562033,-0.1069403136275326,-0.10457221759644743,-0.1032513599777963,-0.1022244102137108,-0.10148470024979182,-0.10093313211212879,-0.10067170413544269,-0.1003179017485429,-0.09998739245073551,-0.09974436580627254,-0.09947068415209548,-0.09937858034970856,-0.09941418262558978,-0.09935642520122122,-0.09924189564252013,-0.09912552733832915,-0.09916746461282265,-0.09915343463780182,-0.09910623091867889,-0.09910437135720235,-0.09910303219539275,-0.09908519289480987,-0.09905876353039135,-0.09904494865389953,-0.09901865112406331,-0.0990035595337219,-0.09901976131001942,-0.0990043366638912,-0.09902964196502913,-0.09906714543436025,-0.09904440743824591,-0.09904920205384403,-0.09905548848182072,-0.09905427421593117,-0.09904594782126007,-0.09905022897585347,-0.09904290174854288,-0.09904585761865115
tmp4__l2norm__output_weights_mean,-0.2881201151817929,-0.3236956841520955,-0.3116592393698293,-0.2849363238967527,-0.2602243755203997,-0.2339924299195115,-0.20621721482098251,-0.17945646683319455,-0.15858211212878157,-0.14019618373577578,-0.12365771579239523,-0.11268809325562033,-0.1069403136275326,-0.10457221759644743,-0.1032513599777963,-0.1022244102137108,-0.10148470024979182,-0.10093313211212879,-0.10067170413544269,-0.1003179017485429,-0.09998739245073551,-0.09974436580627254,-0.09947068415209548,-0.09937858034970856,-0.09941418262558978,-0.09935642520122122,-0.09924189564252013,-0.09912552733832915,-0.09916746461282265,-0.09915343463780182,-0.09910623091867889,-0.09910437135720235,-0.09910303219539275,-0.09908519289480987,-0.09905876353039135,-0.09904494865389953,-0.09901865112406331,-0.0990035595337219,-0.09901976131001942,-0.0990043366638912,-0.09902964196502913,-0.09906714543436025,-0.09904440743824591,-0.09904920205384403,-0.09905548848182072,-0.09905427421593117,-0.09904594782126007,-0.09905022897585347,-0.09904290174854288,-0.09904585761865115
tmp4__half_diff_mean__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__ema_crossover_rate__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__dom_freq_idx__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spectral_entropy__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__low_high_bandpower_ratio__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_1_sigma_rate__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_2_sigma_rate__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__fano_factor__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__skew__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__kurtosis__output_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__std__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__slope_ols__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__median__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__ema_mean_hl__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__var__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mad__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__iqr__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__min__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__max__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__range__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__q10__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__q90__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__tail_exceed_p90_rate__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__trend_tstat__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__delta_last_first__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__pct_change_last_first__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spearman_rho_time__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__autocorr_lag1__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__vol_cluster_acf__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__zero_cross_rate__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__sign_persistence__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean_second_diff__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__abs_mean_second_diff__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__l1norm__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__l2norm__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__half_diff_mean__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__ema_crossover_rate__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__dom_freq_idx__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__spectral_entropy__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__low_high_bandpower_ratio__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_1_sigma_rate__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__above_2_sigma_rate__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__fano_factor__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__skew__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__kurtosis__output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__mean__bias,-0.023952643630308083,-0.0046708784346378065,0.0025185192938534094,0.00793007216208715,0.011578080766028306,0.012040077713016928,0.011129239522620031,0.01137543713572023,0.009704017485428812,0.0092385165140161,0.009065903413821817,0.008984700249791842,0.00797850402442409,0.007678795448237577,0.007472196780460721,0.007186594504579513,0.00688660838190397,0.0066775326117124575,0.006484970857618648,0.006222175964474048,0.005996752706078268,0.005860047182903133,0.005747418817651958,0.005803628920344154,0.00580111018595614,0.005680925617540935,0.005593692756036628,0.005561691645850679,0.0056675409381071315,0.005705655009714115,0.0057073619206217015,0.005752019150707735,0.005774292256452953,0.005760519011934493,0.005719698862059391,0.005720101304468495,0.005702504857063559,0.005688655287260614,0.005674618373577573,0.0056994240910352425,0.005780710519011934,0.0058017901748542875,0.005826325284485146,0.005814453233416588,0.005808416597280039,0.005813308354149316,0.005826346100471823,0.005825548154315848,0.005842762975298361,0.005844594782126009
tmp4__std__bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp4__slope_ols__bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
