                                                            ,delta_test_loss_at_h0  ,delta_test_loss_at_h1  ,delta_test_loss_at_h2  ,delta_test_loss_at_h3  ,delta_test_loss_at_h4  ,delta_test_loss_at_h5  ,delta_test_loss_at_h6  ,delta_test_loss_at_h7  ,delta_test_loss_at_h8  ,delta_test_loss_at_h9  ,delta_test_loss_at_h10 ,delta_test_loss_at_h11 ,delta_test_loss_at_h12 ,delta_test_loss_at_h13 ,delta_test_loss_at_h14 ,delta_test_loss_at_h15 ,delta_test_loss_at_h16 ,delta_test_loss_at_h17 ,delta_test_loss_at_h18 ,delta_test_loss_at_h19 ,delta_test_loss_at_h20 ,delta_test_loss_at_h21 ,delta_test_loss_at_h22 ,delta_test_loss_at_h23 ,delta_test_loss_at_h24 ,delta_test_loss_at_h25 ,delta_test_loss_at_h26 ,delta_test_loss_at_h27 ,delta_test_loss_at_h28 ,delta_test_loss_at_h29 ,delta_test_loss_at_h30 ,delta_test_loss_at_h31 ,delta_test_loss_at_h32 ,delta_test_loss_at_h33 ,delta_test_loss_at_h34 ,delta_test_loss_at_h35 ,delta_test_loss_at_h36 ,delta_test_loss_at_h37 ,delta_test_loss_at_h38 ,delta_test_loss_at_h39 ,delta_test_loss_at_h40 ,delta_test_loss_at_h41 ,delta_test_loss_at_h42 ,delta_test_loss_at_h43 ,delta_test_loss_at_h44 ,delta_test_loss_at_h45 ,delta_test_loss_at_h46 ,delta_test_loss_at_h47 ,delta_test_loss_at_h48 ,delta_test_loss_at_h49
output_weight_grads_var                                     ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
pre_activation_grad_mean                                    ,0.2862728593229105     ,0.37318982741749074    ,0.12890485910560243    ,0.011989243626127308   ,0.001082331131049215   ,5.1169647251939624e-05 ,1.285341591897757e-06  ,2.3514900464311483e-08 ,7.931157279531613e-10  ,2.8017010373580927e-11 ,1.0502368205869482e-12 ,8.720372461827417e-14  ,2.233145163434384e-14  ,9.917912033330753e-15  ,6.4788005142155025e-15 ,4.349657779986177e-15  ,2.929538962156693e-15  ,2.204450039890563e-15  ,2.204450039890563e-15  ,2.204450039890563e-15  ,2.204450039890563e-15  ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,7.436477057351393e-16  ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,1.4758630836592823e-15 ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16  ,7.436477057351393e-16
post_activation_grad_mean                                   ,0.7719995591234788     ,0.9944422549721907     ,0.5499260445781642     ,0.10042760014527922    ,0.0115270415890294     ,0.0008891190266958267  ,4.502846422455288e-05  ,1.731631474615888e-06  ,1.0431056017388589e-07 ,4.586663108207368e-09  ,1.8244290093411535e-10 ,1.507464879380767e-11  ,4.6718831251523756e-12 ,2.3373026324774616e-12 ,1.6424510935232624e-12 ,1.2029986110873557e-12 ,9.260638368100655e-13  ,7.639006346327316e-13  ,6.959373878860226e-13  ,6.376594725494484e-13  ,5.764665256544267e-13  ,5.34480414077967e-13   ,5.00665804595912e-13   ,4.801990481857834e-13  ,4.2701482568945204e-13 ,3.9728388461484115e-13 ,3.880414452685657e-13  ,3.784128239272001e-13  ,3.713351626422395e-13  ,3.624002913148895e-13  ,3.5014683351203743e-13 ,3.424819193748888e-13  ,3.3794888131975873e-13 ,3.334814025352392e-13  ,3.295669219202437e-13  ,3.263072839133161e-13  ,3.218660129472106e-13  ,3.218660129472106e-13  ,3.2127500412293486e-13 ,3.224891612349609e-13  ,3.1868435869728463e-13 ,3.193240502607084e-13  ,3.1738884080775745e-13 ,3.1674898778004215e-13 ,3.1610907047133147e-13 ,3.1610907047133147e-13 ,3.1610907047133147e-13 ,3.1610907047133147e-13 ,3.1610907047133147e-13 ,3.1610907047133147e-13
input_weights_mean_pct                                      ,0.002006567929660192   ,0.00031928078169664493 ,0.00031615312529428624 ,0.0007898091587729953  ,0.002032638903527895   ,0.005714702917627243   ,0.012673212314966004   ,0.026138181647045254   ,0.04446011819900549    ,0.06629574370435079    ,0.09762039943980301    ,0.12140228655622277    ,0.13773520447774024    ,0.14356643566041238    ,0.14797129186363117    ,0.1519121146558664     ,0.15451377334311317    ,0.15515972877600176    ,0.15531690146741509    ,0.15600879618203975    ,0.15787848817987518    ,0.15836642362481482    ,0.16042385595017378    ,0.16178307332585326    ,0.1622708822429815     ,0.1635856856440983     ,0.16428508077547477    ,0.16520323914073368    ,0.16515054851220584    ,0.16522607848485396    ,0.16484791476120728    ,0.16513877360384865    ,0.1658162542883827     ,0.1654494785810328     ,0.16515256710181644    ,0.1651371617416472     ,0.16491534032532024    ,0.1653281882240402     ,0.16555195354263266    ,0.1658961136356053     ,0.1657882253584556     ,0.16608447986912656    ,0.16572197691921384    ,0.16574707125784327    ,0.16588724588779996    ,0.16592602536859127    ,0.16592224743939354    ,0.1658961136356053     ,0.1658961136356053     ,0.1658961136356053
input_weights_var_pct                                       ,0.043759084127642026   ,0.018721176852504014   ,0.023840562840416586   ,0.045414995364120615   ,0.07816159141158044    ,0.13623525692627245    ,0.2091177565642348     ,0.32169750391077945    ,0.41623189263870397    ,0.49599760275922145    ,0.5541120251206577     ,0.6116347645836752     ,0.6433878969085987     ,0.6523945748332107     ,0.6585712424142678     ,0.6653681644963882     ,0.6697109124327828     ,0.6722488327550284     ,0.6740428462235374     ,0.6774144757115403     ,0.6790989299723388     ,0.6809514104942466     ,0.6852841484304724     ,0.6892334579418044     ,0.6891282994338478     ,0.6894605195146692     ,0.6910973109458953     ,0.6946402380929799     ,0.6965080316756943     ,0.6985319149082536     ,0.699994930932892      ,0.7013524483934498     ,0.7015933506371962     ,0.7025131576339451     ,0.7040867972149617     ,0.7049886634392437     ,0.705865666231209      ,0.7065483485259181     ,0.7065483485259181     ,0.7063032945865036     ,0.7067961805018578     ,0.7067371446975688     ,0.7079066201187356     ,0.7079334096976474     ,0.7079066201187356     ,0.7085521344391058     ,0.7086105176864403     ,0.7085820069698379     ,0.7086904075991025     ,0.7086848300324579
output_weights_mean_pct                                     ,0.019948831230087893   ,0.00481389776205221    ,0.004549362268150444   ,0.0090732288663097     ,0.01928971299291598    ,0.0432371317795378     ,0.07706683895474103    ,0.12553909998214174    ,0.16866244764260532    ,0.20731230489919747    ,0.2653152210740286     ,0.30648575420268603    ,0.3271197291963578     ,0.3333105159317992     ,0.33880274739265515    ,0.3430387729956081     ,0.3478684061665438     ,0.35006642226617835    ,0.35228345826813634    ,0.3549183491145953     ,0.3550125187245658     ,0.3574142247860048     ,0.35778180845598667    ,0.3607055086798833     ,0.3593175331119496     ,0.36008207201169035    ,0.35967967120799776    ,0.36213918554845714    ,0.36193797157579677    ,0.36264414764160485    ,0.3620574930473172     ,0.3621814281926654     ,0.3624334943850906     ,0.362836976823846      ,0.362836976823846      ,0.362845728518284      ,0.3630679845359904     ,0.36336129455094013    ,0.3628724288424277     ,0.36287704633829865    ,0.36290145542182295    ,0.36293998432697155    ,0.362836976823846      ,0.36265332043499815    ,0.362845728518284      ,0.362845728518284      ,0.36278164025550874    ,0.3627455405290945     ,0.362836976823846      ,0.36278746665059464
output_weights_var_pct                                      ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
bias_pct                                                    ,0.19802503580303446    ,0.04915599151402183    ,0.030097622905774328   ,0.039920205427100376   ,0.056421751273180165   ,0.08837997339768361    ,0.12427653289291458    ,0.1723197371095247     ,0.22938248041583864    ,0.2839272509592155     ,0.3408793191983107     ,0.3810874242330667     ,0.4133200861411904     ,0.43091465726405237    ,0.4319207555529497     ,0.4341981310483206     ,0.437774011601631      ,0.43677644962828654    ,0.4367197635835165     ,0.43970884575097197    ,0.4401438643339181     ,0.44087840792243893    ,0.4403530919499423     ,0.4403530919499423     ,0.4418299068617081     ,0.4422972631670824     ,0.44034735283372684    ,0.4404498581258131     ,0.4394023540867967     ,0.4388312214888947     ,0.4383315541807295     ,0.43779575450816494    ,0.43752739751182523    ,0.4364420626476449     ,0.43533143983741357    ,0.43514541170205534    ,0.4351455326751325     ,0.43584671635133304    ,0.4362613215635592     ,0.4356987214787662     ,0.4352617589956284     ,0.4355282996084171     ,0.4358493908968698     ,0.43620260164337943    ,0.43654803837367506    ,0.43649928822482814    ,0.4362806291286878     ,0.43639572814798194    ,0.43639572814798194    ,0.43639956235118943
pre_activation_mean_pct                                     ,0.05030563210997278    ,0.008837427738665585   ,0.006174426572664985   ,0.009402745080444167   ,0.01499598394204555    ,0.027329998556256972   ,0.046453563191305294   ,0.07168931538195128    ,0.1067834821326706     ,0.14101106413735975    ,0.17056102450039698    ,0.19762374743304367    ,0.21657750932039854    ,0.2250757975911097     ,0.22636156346897848    ,0.2256145906893962     ,0.2259720490634468     ,0.2266254043848108     ,0.22679738310889183    ,0.2272562739874643     ,0.22709321469726157    ,0.2269625482298454     ,0.22619381522443605    ,0.22473999783107365    ,0.22478690711423507    ,0.22444217081781312    ,0.22478150607378228    ,0.22379186767079212    ,0.2236057452997436     ,0.2237066280096606     ,0.22284733134836926    ,0.22176510575244993    ,0.22096111534132948    ,0.22090193252861515    ,0.22056469637785656    ,0.22022702938104774    ,0.220904122634561      ,0.22119397133768268    ,0.2212570280103477     ,0.22063852025610678    ,0.21999837968169625    ,0.21973113059441693    ,0.21987970174492855    ,0.2201063255644234     ,0.220104487606498      ,0.22006104317871575    ,0.22007137370052038    ,0.22015310701309487    ,0.22006104317871575    ,0.22007137370052038
post_activation_mean_pct                                    ,0.08412701163287928    ,0.03618693202772811    ,0.03987752236998436    ,0.06838101280629587    ,0.10348591942347693    ,0.1653600933318711     ,0.2334501092829119     ,0.32781689233942995    ,0.42473830048288896    ,0.49797169896437576    ,0.5541120251206577     ,0.5900057482597216     ,0.6180078058347634     ,0.6284574236082107     ,0.6289707087363243     ,0.6313375327170199     ,0.631462195830536      ,0.6314552906617625     ,0.6328161242572016     ,0.6325701355582105     ,0.6318680940199581     ,0.6326007968118792     ,0.631462195830536      ,0.6300694819859383     ,0.6306119693312545     ,0.6314342746576462     ,0.6307593565912013     ,0.630636252477041      ,0.6294994756095291     ,0.6304313127786124     ,0.6291332360965262     ,0.6288092016809421     ,0.6273103859007658     ,0.6277830273954771     ,0.6272474078871323     ,0.6268264927034272     ,0.6281675858477095     ,0.6286329847156145     ,0.6283452394508339     ,0.6276544247025833     ,0.6263942899299998     ,0.6255793286920445     ,0.6264533324709415     ,0.6267833965966769     ,0.6267132478133196     ,0.6268886169997812     ,0.6271088564225338     ,0.6272463786947915     ,0.6271894630325869     ,0.6272224921885678
