dataset,anti-greedy,baseline,greedy,random,random_imp_pct,greedy_imp_pct,anti-greedy_imp_pct
openml_1049,0.2641205794462875,0.2706650924192716,0.2585011852658502,0.2660806162716591,1.6937818270673008,4.494080505431048,2.4179375753584114
openml_1050,0.3171072589894072,0.31870387013727863,0.316069818120668,0.3239291493758099,-1.639540566696143,0.8264888705229912,0.5009701159837445
openml_1063,0.44343967239061993,0.4578523437182109,0.4376982351144154,0.45475012063980097,0.6775597244336036,4.401879531755653,3.1478863274010767
openml_1112,0.2489166325569153,0.2484551742871602,0.24978550593852997,0.2497065439224243,-0.5036601225369458,-0.5354413145898823,-0.18573099597504528
openml_12,0.09853335147102671,0.14079823325077687,0.10014324227968846,0.09745653837919233,30.782840005093178,28.87464567732002,30.01804838308719
openml_1236,0.0,0.0,0.0,0.0,,,
openml_1237,0.0,0.0,0.0,0.0,,,
openml_1241,0.09920543996571969,0.09936761499162179,0.09931843859698268,0.09909364563408007,0.27571292474395925,0.049489357919335564,0.1632071232823433
openml_14,0.5839745954672496,0.5952375193436941,0.5807357148329416,0.5838416302204132,1.9145112250057545,2.436305514938317,1.8921730419249945
openml_1467,0.33006564776102704,0.3423451979955037,0.35095563530921936,0.34889381130536395,-1.912868457978557,-2.5151330774117424,3.586891332601068
openml_1479,0.6904200183838319,0.6909716362325252,0.6902570739204501,0.6898773192378229,0.15837364912241433,0.10341413085654556,0.07983219856909678
openml_1485,1.2388021314755464,1.1016007359211262,1.1920736083617578,1.2241141035006595,-11.121394856103766,-8.21285511987071,-12.454729838183747
openml_1491,2.076367489496867,1.9026898940404255,2.074810520807902,2.010064395268758,-5.643300128131712,-9.0461733836181,-9.128003254783215
openml_1493,2.0901938756306966,1.9016966104507447,2.133686367670695,2.0966872533162437,-10.253509513238388,-12.199094006112981,-9.912057693328583
openml_1504,0.022150714967109335,0.04953853193839693,0.023420638986563866,0.02218059449589897,55.22557163486114,52.72237979177839,55.28588736813072
openml_151,0.4569987942427621,0.4573064385735364,0.4579590607991202,0.45795966397909665,-0.14284194370799147,-0.14271004528592957,0.06727312472003998
openml_1515,0.44613803426424664,0.5739433169364929,0.43682196736335754,0.4363557497660319,23.972326728161054,23.891096128628313,22.26792766826275
openml_29,0.4497301575642277,0.45296927365127965,0.43453609871403603,0.4508940995027477,0.4581269126279642,4.069409562520232,0.7150851670229647
openml_3,0.09009631772836046,0.10799456238746641,0.0912891070048014,0.1026309564709663,4.966551831800925,15.468793070088685,16.573283194472367
openml_32,0.060624516673687595,0.08788861433936006,0.060332269119108634,0.05694725410638657,35.205197471314214,31.353714502596937,31.02119412236825
openml_37,0.5199827898890425,0.5407299381313903,0.5163892818477763,0.5083039778393584,5.9967014965153895,4.501444171507934,3.8368780382392136
openml_40517,0.2122429004161186,0.2125410148087926,0.2112196199662372,0.21171523070921983,0.388529291777241,0.6217128697461763,0.14026205386390203
openml_40668,0.5724572728012872,0.5715844305586905,0.5708211603391941,0.5714203127865164,0.028712778620238227,0.13353586604000942,-0.15270574143239143
openml_40691,1.0328410665194194,1.0533151904741922,1.0378958304723103,1.0277207056681315,2.4298980056044157,1.4638885056751423,1.9437794251837879
openml_40701,0.23497653448581693,0.23457374362150826,0.23684216054280594,0.23450885975360866,0.027660328431426306,-0.9670378646289718,-0.17171182848093242
openml_40923,0.49049986960231395,0.5057323669350665,0.498310056682946,0.494037010445111,2.3125584310203218,1.4676359943308752,3.0119680543816836
openml_40978,0.12129652070078419,0.09967051861368537,0.12361585061118853,0.1197570153489345,-20.15289677893894,-24.024488214326723,-21.697491282170812
openml_40981,0.3824878999432504,0.40166904960853467,0.3911565886315516,0.3728251912167682,7.181000980752085,2.617194674876857,4.775361627682831
openml_40983,0.11193653524496665,0.1445767742789481,0.11100456970371818,0.1139575139960638,21.17854713220199,23.221022009009086,22.57640564798119
openml_40984,0.47479787404403023,0.5010186022666282,0.4640656166950517,0.47985979531922557,4.223157952954111,7.375571566484701,5.233483967256773
openml_40994,0.3469122350215912,0.3822404046853383,0.3609327971935272,0.3310384849707286,13.395213872473622,5.57439957435991,9.24239542201966
openml_4135,0.21307505493961454,0.21303508567211038,0.21298182262262141,0.21319913742574034,-0.0770069179508112,0.02500200815322285,-0.018761823846085428
openml_458,0.041465260000271134,0.10056277263093981,0.04804242122367283,0.0462252519642695,54.03343528135029,52.226435323152785,58.76678922482925
openml_46,0.40636518986870374,0.4107633995411912,0.41295821278072825,0.41598053246954514,-1.270106570882733,-0.5343254150658522,1.0707404012626471
openml_554,0.20261826755390275,0.16418504476972987,0.18750263697760441,0.18747404439818285,-14.184604731274945,-14.202019581367814,-23.408479644461906
