dataset,split_step,neuron_split,final_val_loss
fashion_mnist,81,0,2.240506021839798
fashion_mnist,81,0,2.2405060248769773
fashion_mnist,4,2,2.2405060415814635
fashion_mnist,52,4,2.2405060127282597
fashion_mnist,34,3,2.240506021839798
fashion_mnist,9,3,2.2405060233583876
fashion_mnist,45,0,2.2405060188026185
fashion_mnist,70,2,2.240506038544284
fashion_mnist,8,2,2.2405060324699257
fashion_mnist,63,2,2.240506021839798
fashion_mnist,31,4,2.2405060339885154
fashion_mnist,34,0,2.240506020321208
fashion_mnist,78,1,2.240506049174412
fashion_mnist,17,3,2.2405060324699257
fashion_mnist,11,1,2.2405060233583876
fashion_mnist,71,0,2.240506021839798
fashion_mnist,5,2,2.2405060324699257
fashion_mnist,74,1,2.240506037025695
fashion_mnist,28,0,2.240506021839798
fashion_mnist,39,2,2.240506035507105
fashion_mnist,63,1,2.240506040062874
fashion_mnist,73,1,2.2405060248769773
fashion_mnist,56,3,2.240506020321208
fashion_mnist,60,0,2.2405060294327463
fashion_mnist,53,2,2.240506040062874
fashion_mnist,9,2,2.240506030951336
fashion_mnist,9,0,2.240506008172491
fashion_mnist,94,3,2.2405060522115914
fashion_mnist,87,0,2.2405060294327463
fashion_mnist,15,2,2.240506040062874
fashion_mnist,41,4,2.2405060279141567
fashion_mnist,9,4,2.240506035507105
fashion_mnist,35,0,2.2405060294327463
fashion_mnist,78,4,2.2405060127282597
fashion_mnist,57,4,2.240506026395567
fashion_mnist,47,3,2.2405060279141567
fashion_mnist,32,2,2.240506038544284
fashion_mnist,24,0,2.2405060127282597
fashion_mnist,18,3,2.2405060233583876
fashion_mnist,34,3,2.240506035507105
fashion_mnist,64,3,2.2405060476558223
fashion_mnist,18,3,2.240506037025695
fashion_mnist,63,3,2.2405060339885154
fashion_mnist,93,2,2.240506043100053
fashion_mnist,25,5,2.2405060339885154
fashion_mnist,99,0,2.2405060415814635
fashion_mnist,18,5,2.2405060188026185
fashion_mnist,50,1,2.240506026395567
fashion_mnist,10,4,2.2405060248769773
fashion_mnist,26,5,2.240506026395567
fashion_mnist,10,4,2.240506026395567
fashion_mnist,53,4,2.2405060339885154
fashion_mnist,63,4,2.2405060506930017
fashion_mnist,69,1,2.2405060248769773
fashion_mnist,97,4,2.2405060248769773
fashion_mnist,47,2,2.240506015765439
fashion_mnist,24,3,2.240506030951336
fashion_mnist,45,4,2.240506030951336
fashion_mnist,51,3,2.240506043100053
fashion_mnist,18,3,2.2405060324699257
fashion_mnist,74,1,2.2405060339885154
fashion_mnist,18,5,2.240506040062874
fashion_mnist,91,3,2.2405060324699257
fashion_mnist,2,1,2.2405060248769773
fashion_mnist,75,2,2.240506035507105
fashion_mnist,90,3,2.240506044618643
fashion_mnist,31,4,2.240506026395567
fashion_mnist,16,5,2.2405060339885154
fashion_mnist,35,1,2.240506026395567
fashion_mnist,49,4,2.2405060324699257
fashion_mnist,27,2,2.2405060233583876
fashion_mnist,61,5,2.2405060339885154
fashion_mnist,3,5,2.240506037025695
fashion_mnist,30,4,2.240506037025695
fashion_mnist,36,1,2.240506038544284
fashion_mnist,95,4,2.2405060522115914
fashion_mnist,30,1,2.2405060339885154
fashion_mnist,91,5,2.240506020321208
fashion_mnist,36,1,2.240506030951336
fashion_mnist,65,1,2.240506030951336
fashion_mnist,11,1,2.240506026395567
fashion_mnist,65,1,2.2405060339885154
fashion_mnist,6,2,2.240506040062874
fashion_mnist,35,4,2.2405060188026185
fashion_mnist,31,1,2.240506038544284
fashion_mnist,73,0,2.2405060127282597
fashion_mnist,5,4,2.2405060279141567
fashion_mnist,30,3,2.2405060339885154
fashion_mnist,75,4,2.2405060294327463
fashion_mnist,66,3,2.2405060172840288
fashion_mnist,40,2,2.2405060294327463
fashion_mnist,52,1,2.2405060324699257
fashion_mnist,63,2,2.240506037025695
fashion_mnist,61,4,2.240506037025695
fashion_mnist,85,2,2.2405060339885154
fashion_mnist,73,3,2.2405060294327463
fashion_mnist,9,1,2.2405060172840288
fashion_mnist,24,3,2.240506020321208
fashion_mnist,0,5,2.240506026395567
fashion_mnist,98,0,2.240506038544284
