input_weights_mean,input_weights_var,output_weights_mean,output_weights_var,bias,pre_activation_mean,post_activation_mean,input_weight_grads_mean,input_weight_grads_var,output_weight_grads_mean,output_weight_grads_var,pre_activation_grad_mean,post_activation_grad_mean,neuron_idx,input_weights_mean_pct,input_weights_var_pct,output_weights_mean_pct,output_weights_var_pct,bias_pct,pre_activation_mean_pct,post_activation_mean_pct,input_weight_grads_mean_pct,input_weight_grads_var_pct,output_weight_grads_mean_pct,output_weight_grads_var_pct,pre_activation_grad_mean_pct,post_activation_grad_mean_pct,best_test_loss,control_best_test_loss,delta_best_test_loss
0.42190852761268616,0.6561733484268188,1.01988685131073,0.0,1.3350051641464233,1.1106988191604614,1.8255642652511597,,,,,-0.035150934010744095,-0.06651774793863297,0,0.90625,0.5625,0.53125,0.0,0.78125,0.78125,0.78125,,,,,0.625,0.4375,106.81346219257243,111.93776688066501,-5.124304688092579
0.03471239656209946,0.1272660493850708,-1.1376664638519287,0.0,-0.7643858194351196,-0.9916464686393738,0.10328544676303864,,,,,-0.0412568673491478,0.050393931567668915,1,0.5625,0.1875,0.15625,0.0,0.125,0.15625,0.125,,,,,0.4375,0.84375,106.82549937720438,111.93776688066501,-5.112267503460629
0.09330455958843231,1.1562376022338867,1.2031186819076538,0.0,1.2684050798416138,0.3911639153957367,1.4037960767745972,,,,,-0.044564519077539444,-0.05249939486384392,2,0.65625,0.9375,0.875,0.0,0.71875,0.5,0.59375,,,,,0.25,0.125,106.80899803383836,111.93776688066501,-5.128768846826645
0.20774272084236145,1.2363442182540894,1.0471112728118896,0.0,1.459692120552063,2.002112865447998,2.4967119693756104,,,,,-0.0687834694981575,-0.044995393604040146,3,0.8125,0.96875,0.59375,0.0,0.90625,0.96875,0.9375,,,,,0.0,0.34375,106.8373364939273,111.93776688066501,-5.100430386737713
0.30460357666015625,0.9192463755607605,1.0242098569869995,0.0,1.5977040529251099,1.4325156211853027,2.0973286628723145,,,,,-0.007490763906389475,-0.044229406863451004,4,0.84375,0.71875,0.5625,0.0,0.96875,0.84375,0.84375,,,,,0.875,0.40625,106.8138620321033,111.93776688066501,-5.123904848561708
-0.07685413211584091,0.2097184658050537,-0.9992884993553162,0.0,-0.5498541593551636,-0.8941632509231567,0.2622376084327698,,,,,-0.03963782638311386,0.04428956285119057,5,0.21875,0.34375,0.34375,0.0,0.40625,0.3125,0.3125,,,,,0.53125,0.59375,106.80071399281326,111.93776688066501,-5.137052887851752
0.04621647298336029,0.08657224476337433,-0.53303062915802,0.0,-0.5001438856124878,-0.6798330545425415,0.06486648321151733,,,,,-0.01538450550287962,0.02474968321621418,6,0.59375,0.0,0.4375,0.0,0.4375,0.4375,0.0625,,,,,0.8125,0.53125,106.81220652756181,111.93776688066501,-5.125560353103197
0.4973028302192688,0.6650516390800476,1.1811164617538452,0.0,1.4904005527496338,1.2534304857254028,1.9199750423431396,,,,,-0.03420884534716606,-0.05136376619338989,7,0.9375,0.59375,0.75,0.0,0.9375,0.8125,0.8125,,,,,0.65625,0.15625,106.79394012747458,111.93776688066501,-5.1438267531904245
0.11152485013008118,0.7968406677246094,1.1959607601165771,0.0,1.400225281715393,1.1202400922775269,1.7924398183822632,,,,,-0.05908678099513054,-0.0520595908164978,8,0.6875,0.65625,0.84375,0.0,0.875,0.75,0.71875,,,,,0.0625,0.0625,106.72377117860664,111.93776688066501,-5.213995702058369
0.017634816467761993,1.0732357501983643,1.1806696653366089,0.0,1.3909119367599487,0.8396791219711304,1.5381050109863281,,,,,-0.06426642090082169,-0.04970350116491318,9,0.4375,0.875,0.71875,0.0,0.84375,0.65625,0.625,,,,,0.03125,0.25,106.83123438566633,111.93776688066501,-5.106532494998675
-0.027263551950454712,0.09793221950531006,-1.1843616962432861,0.0,-0.6806926131248474,-0.840806245803833,0.05480824410915375,,,,,-0.05132748559117317,0.05248568207025528,10,0.3125,0.09375,0.0625,0.0,0.34375,0.34375,0.03125,,,,,0.0625,0.9375,106.79532541812046,111.93776688066501,-5.142441462544554
