variation,init_id,final_test_loss
baseline,0,1.5045565692901612
baseline,1,1.5166910634994506
baseline,2,1.5171627281188964
baseline,3,1.5115858673095703
baseline,4,1.5153195669174195
baseline,5,1.51619704246521
baseline,6,1.5256532127380371
baseline,7,1.5120890602111816
baseline,8,1.5174121055603027
baseline,9,1.5101447616577148
baseline,10,1.5194097434997558
baseline,11,1.5210074474334716
baseline,12,1.5266217723846436
baseline,13,1.5189074489593506
baseline,14,1.5165786443710327
baseline,15,1.5370995864868164
baseline,16,1.5149665802001953
baseline,17,1.520343772506714
baseline,18,1.5199605768203734
baseline,19,1.5197839120864869
baseline,20,1.4984003288269043
baseline,21,1.50721863861084
baseline,22,1.5318547382354737
baseline,23,1.5163530975341797
baseline,24,1.5170723197937013
baseline,25,1.51488929271698
baseline,26,1.5141558223724365
baseline,27,1.5167971061706542
baseline,28,1.5237155616760254
baseline,29,1.5142629753112793
baseline,30,1.5325071214675903
baseline,31,1.5223943948745728
baseline,32,1.5341261859893798
baseline,33,1.5094107097625733
baseline,34,1.5155465532302856
baseline,35,1.5272413249969483
baseline,36,1.5133828189849854
baseline,37,1.4988327770233154
baseline,38,1.5010533210754395
baseline,39,1.5226348293304444
baseline,40,1.5099223094940186
baseline,41,1.5078650680541992
baseline,42,1.5061814476013184
baseline,43,1.5162811656951904
baseline,44,1.513076585960388
baseline,45,1.519383642578125
baseline,46,1.5185306451797485
baseline,47,1.5109739326477052
baseline,48,1.5144020318984985
baseline,49,1.5236828544616698
random,0,1.5168513549804687
random,1,1.5179320480346679
random,2,1.5101635746002198
random,3,1.511992692565918
random,4,1.4992043596267701
random,5,1.53193341255188
random,6,1.5187835300445556
random,7,1.5108184453964233
random,8,1.5207333206176759
random,9,1.5182396863937377
random,10,1.539790057373047
random,11,1.5227866542816162
random,12,1.51609644241333
random,13,1.5259221561431884
random,14,1.5206006618499757
random,15,1.5223059595108033
random,16,1.5096751106262207
random,17,1.5124721319198609
random,18,1.5106058746337891
random,19,1.5250717889785768
random,20,1.5342632999420167
random,21,1.506239249420166
random,22,1.5103306913375854
random,23,1.5207884809494019
random,24,1.5131214683532714
random,25,1.5115231510162352
random,26,1.4997516902923584
random,27,1.5038372529983521
random,28,1.5145280727386474
random,29,1.5137042415618895
random,30,1.5253999961853026
random,31,1.519734345626831
random,32,1.5023766548156738
random,33,1.5105109272003174
random,34,1.5262303314208985
random,35,1.5224728122711182
random,36,1.4998109294891357
random,37,1.5245023872375487
random,38,1.5260652256011964
random,39,1.5378374626159668
random,40,1.5158999214172364
random,41,1.525580785179138
random,42,1.526347500038147
random,43,1.5077637992858888
random,44,1.5181322065353393
random,45,1.519976679801941
random,46,1.5065825450897217
random,47,1.5258189300537108
random,48,1.5216606811523437
random,49,1.513894227218628
greedy,0,1.508277484512329
greedy,1,1.531173765182495
greedy,2,1.5277512084960938
greedy,3,1.5201703664779662
greedy,4,1.5282302034378052
greedy,5,1.5349418409347535
greedy,6,1.502663383293152
greedy,7,1.5150869136810303
greedy,8,1.5212592203140258
greedy,9,1.516309154510498
greedy,10,1.5231328311920167
greedy,11,1.5157456581115722
greedy,12,1.5189579675674438
greedy,13,1.530369100189209
greedy,14,1.5145945741653442
greedy,15,1.5162925338745117
greedy,16,1.5176140270233154
greedy,17,1.5154997758865356
greedy,18,1.5241128187179565
greedy,19,1.5093783264160157
greedy,20,1.5179322074890136
greedy,21,1.516430297279358
greedy,22,1.5120083084106446
greedy,23,1.5233341701507568
greedy,24,1.5051120864868164
greedy,25,1.526858205986023
greedy,26,1.5242169792175293
greedy,27,1.5184239065170289
greedy,28,1.5251131019592286
greedy,29,1.5141497814178466
greedy,30,1.51303235206604
greedy,31,1.5061009408950805
greedy,32,1.5044291484832764
greedy,33,1.5139044857025146
greedy,34,1.5188453845977783
greedy,35,1.5128026407241821
greedy,36,1.5131336631774903
greedy,37,1.5098530418395997
greedy,38,1.5315843658447266
greedy,39,1.518124686050415
greedy,40,1.5291622079849243
greedy,41,1.5134603839874268
greedy,42,1.5172205715179443
greedy,43,1.510939476585388
greedy,44,1.5067729612350464
greedy,45,1.51595767288208
greedy,46,1.5057974418640137
greedy,47,1.5146579483032228
greedy,48,1.5046437885284423
greedy,49,1.5178986080169679
